"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 27 12:23:53 GMT 2021","Mon Sep 27 12:24:02 GMT 2021","9152","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Mon Sep 27 12:24:48 GMT 2021","Mon Sep 27 12:25:00 GMT 2021","12701","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Mon Sep 27 12:27:06 GMT 2021","Mon Sep 27 12:27:18 GMT 2021","12140","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"passed","Mon Sep 27 12:26:19 GMT 2021","Mon Sep 27 12:26:29 GMT 2021","10055","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"skipped","Mon Sep 27 12:29:27 GMT 2021","Mon Sep 27 12:29:35 GMT 2021","7894","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Mon Sep 27 12:23:20 GMT 2021","Mon Sep 27 12:23:35 GMT 2021","14789","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Mon Sep 27 12:27:44 GMT 2021","Mon Sep 27 12:27:59 GMT 2021","14960","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"passed","Mon Sep 27 12:22:40 GMT 2021","Mon Sep 27 12:22:58 GMT 2021","18150","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"passed","Mon Sep 27 12:23:35 GMT 2021","Mon Sep 27 12:23:43 GMT 2021","7808","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Mon Sep 27 12:22:17 GMT 2021","Mon Sep 27 12:22:33 GMT 2021","16691","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Mon Sep 27 12:25:41 GMT 2021","Mon Sep 27 12:25:49 GMT 2021","8295","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Mon Sep 27 12:26:30 GMT 2021","Mon Sep 27 12:27:06 GMT 2021","36551","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Mon Sep 27 12:24:38 GMT 2021","Mon Sep 27 12:24:48 GMT 2021","9490","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Mon Sep 27 12:27:27 GMT 2021","Mon Sep 27 12:27:44 GMT 2021","17501","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Mon Sep 27 12:28:37 GMT 2021","Mon Sep 27 12:28:53 GMT 2021","16873","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Mon Sep 27 12:26:01 GMT 2021","Mon Sep 27 12:26:13 GMT 2021","11318","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Mon Sep 27 12:25:00 GMT 2021","Mon Sep 27 12:25:12 GMT 2021","11285","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Mon Sep 27 12:22:33 GMT 2021","Mon Sep 27 12:22:40 GMT 2021","6690","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"skipped","Mon Sep 27 12:29:35 GMT 2021","Mon Sep 27 12:29:42 GMT 2021","6661","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
