"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 09:38:10 GMT 2021","Mon Oct 11 09:38:21 GMT 2021","10307","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Mon Oct 11 09:39:04 GMT 2021","Mon Oct 11 09:39:13 GMT 2021","9870","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Mon Oct 11 09:34:09 GMT 2021","Mon Oct 11 09:34:27 GMT 2021","17698","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Mon Oct 11 09:37:17 GMT 2021","Mon Oct 11 09:37:31 GMT 2021","13778","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Mon Oct 11 09:36:50 GMT 2021","Mon Oct 11 09:37:02 GMT 2021","11990","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Mon Oct 11 09:37:31 GMT 2021","Mon Oct 11 09:37:42 GMT 2021","11405","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"skipped","Mon Oct 11 09:34:09 GMT 2021","Mon Oct 11 09:34:09 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Mon Oct 11 09:40:32 GMT 2021","Mon Oct 11 09:40:43 GMT 2021","10275","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Mon Oct 11 09:38:53 GMT 2021","Mon Oct 11 09:39:04 GMT 2021","10674","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Mon Oct 11 09:41:25 GMT 2021","Mon Oct 11 09:41:58 GMT 2021","33188","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"skipped","Mon Oct 11 09:39:53 GMT 2021","Mon Oct 11 09:39:53 GMT 2021","0","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Mon Oct 11 09:34:56 GMT 2021","Mon Oct 11 09:35:19 GMT 2021","23024","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"passed","Mon Oct 11 09:37:42 GMT 2021","Mon Oct 11 09:37:55 GMT 2021","12522","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Mon Oct 11 09:37:02 GMT 2021","Mon Oct 11 09:37:17 GMT 2021","15163","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"skipped","Mon Oct 11 09:34:09 GMT 2021","Mon Oct 11 09:34:09 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Mon Oct 11 09:34:27 GMT 2021","Mon Oct 11 09:34:37 GMT 2021","10102","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Mon Oct 11 09:42:26 GMT 2021","Mon Oct 11 09:42:52 GMT 2021","26410","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Mon Oct 11 09:39:54 GMT 2021","Mon Oct 11 09:40:32 GMT 2021","38071","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"failed","Mon Oct 11 09:42:52 GMT 2021","Mon Oct 11 09:43:04 GMT 2021","11483","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Mon Oct 11 09:36:08 GMT 2021","Mon Oct 11 09:36:12 GMT 2021","4383","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Mon Oct 11 09:36:31 GMT 2021","Mon Oct 11 09:36:40 GMT 2021","9073","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Mon Oct 11 09:40:43 GMT 2021","Mon Oct 11 09:41:06 GMT 2021","23562","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"skipped","Mon Oct 11 09:34:09 GMT 2021","Mon Oct 11 09:34:09 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Mon Oct 11 09:35:36 GMT 2021","Mon Oct 11 09:35:45 GMT 2021","9514","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Mon Oct 11 09:36:12 GMT 2021","Mon Oct 11 09:36:31 GMT 2021","18500","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Mon Oct 11 09:36:40 GMT 2021","Mon Oct 11 09:36:50 GMT 2021","10141","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Mon Oct 11 09:41:58 GMT 2021","Mon Oct 11 09:42:26 GMT 2021","28136","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Mon Oct 11 09:35:19 GMT 2021","Mon Oct 11 09:35:36 GMT 2021","16102","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Mon Oct 11 09:39:13 GMT 2021","Mon Oct 11 09:39:25 GMT 2021","11283","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Mon Oct 11 09:34:37 GMT 2021","Mon Oct 11 09:34:56 GMT 2021","19139","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
