"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Wed Oct 13 10:45:08 GMT 2021","Wed Oct 13 10:45:40 GMT 2021","31956","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Wed Oct 13 10:42:12 GMT 2021","Wed Oct 13 10:42:22 GMT 2021","9995","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Wed Oct 13 10:41:34 GMT 2021","Wed Oct 13 10:41:51 GMT 2021","17883","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Wed Oct 13 10:40:48 GMT 2021","Wed Oct 13 10:41:34 GMT 2021","45295","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"failed","Wed Oct 13 10:42:22 GMT 2021","Wed Oct 13 10:42:57 GMT 2021","34974","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"failed","Wed Oct 13 10:46:45 GMT 2021","Wed Oct 13 10:47:33 GMT 2021","47821","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Wed Oct 13 10:45:40 GMT 2021","Wed Oct 13 10:45:54 GMT 2021","14181","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Wed Oct 13 10:41:51 GMT 2021","Wed Oct 13 10:42:00 GMT 2021","8334","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Wed Oct 13 10:37:49 GMT 2021","Wed Oct 13 10:37:53 GMT 2021","3686","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Wed Oct 13 10:43:24 GMT 2021","Wed Oct 13 10:43:33 GMT 2021","8539","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Wed Oct 13 10:46:16 GMT 2021","Wed Oct 13 10:46:45 GMT 2021","28608","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Wed Oct 13 10:40:28 GMT 2021","Wed Oct 13 10:40:48 GMT 2021","20320","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Wed Oct 13 10:36:56 GMT 2021","Wed Oct 13 10:37:14 GMT 2021","18636","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Wed Oct 13 10:43:33 GMT 2021","Wed Oct 13 10:43:45 GMT 2021","11638","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"failed","Wed Oct 13 10:39:16 GMT 2021","Wed Oct 13 10:39:52 GMT 2021","35870","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Wed Oct 13 10:45:54 GMT 2021","Wed Oct 13 10:46:16 GMT 2021","22501","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Wed Oct 13 10:42:57 GMT 2021","Wed Oct 13 10:43:07 GMT 2021","10045","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Wed Oct 13 10:42:00 GMT 2021","Wed Oct 13 10:42:12 GMT 2021","11916","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"skipped","Wed Oct 13 10:36:55 GMT 2021","Wed Oct 13 10:36:55 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
