"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 27 13:57:26 GMT 2021","Mon Sep 27 13:57:38 GMT 2021","12149","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Mon Sep 27 14:01:28 GMT 2021","Mon Sep 27 14:01:47 GMT 2021","19614","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Mon Sep 27 13:56:57 GMT 2021","Mon Sep 27 13:57:06 GMT 2021","8936","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Mon Sep 27 13:58:59 GMT 2021","Mon Sep 27 13:59:09 GMT 2021","9919","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Mon Sep 27 13:56:09 GMT 2021","Mon Sep 27 13:56:17 GMT 2021","7648","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Mon Sep 27 13:58:30 GMT 2021","Mon Sep 27 13:58:44 GMT 2021","13399","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Mon Sep 27 13:58:52 GMT 2021","Mon Sep 27 13:58:59 GMT 2021","7067","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Mon Sep 27 13:57:06 GMT 2021","Mon Sep 27 13:57:14 GMT 2021","8507","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Mon Sep 27 14:01:47 GMT 2021","Mon Sep 27 14:01:56 GMT 2021","9132","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Mon Sep 27 13:59:45 GMT 2021","Mon Sep 27 13:59:59 GMT 2021","13615","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"passed","Mon Sep 27 13:55:54 GMT 2021","Mon Sep 27 13:56:09 GMT 2021","14782","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Mon Sep 27 13:58:07 GMT 2021","Mon Sep 27 13:58:21 GMT 2021","13200","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Mon Sep 27 13:58:21 GMT 2021","Mon Sep 27 13:58:30 GMT 2021","9673","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
