"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 13 08:12:23 GMT 2021","Wed Oct 13 08:12:36 GMT 2021","13540","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Wed Oct 13 08:16:29 GMT 2021","Wed Oct 13 08:16:58 GMT 2021","28685","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"skipped","Wed Oct 13 08:17:31 GMT 2021","Wed Oct 13 08:17:31 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > Actions >","","","Withdraw stake",""
"passed","Wed Oct 13 08:14:13 GMT 2021","Wed Oct 13 08:14:22 GMT 2021","9004","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Wed Oct 13 08:13:52 GMT 2021","Wed Oct 13 08:14:13 GMT 2021","21123","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Wed Oct 13 08:11:32 GMT 2021","Wed Oct 13 08:11:44 GMT 2021","11921","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Wed Oct 13 08:11:10 GMT 2021","Wed Oct 13 08:11:20 GMT 2021","9506","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Wed Oct 13 08:15:15 GMT 2021","Wed Oct 13 08:15:33 GMT 2021","18416","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"skipped","Wed Oct 13 08:17:31 GMT 2021","Wed Oct 13 08:17:31 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > Actions >","","","Validators list",""
"passed","Wed Oct 13 08:10:52 GMT 2021","Wed Oct 13 08:11:10 GMT 2021","18479","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Wed Oct 13 08:15:51 GMT 2021","Wed Oct 13 08:16:29 GMT 2021","37950","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Wed Oct 13 08:09:54 GMT 2021","Wed Oct 13 08:10:02 GMT 2021","7702","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Wed Oct 13 08:12:36 GMT 2021","Wed Oct 13 08:12:52 GMT 2021","16056","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Wed Oct 13 08:13:31 GMT 2021","Wed Oct 13 08:13:42 GMT 2021","10927","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Wed Oct 13 08:14:22 GMT 2021","Wed Oct 13 08:14:37 GMT 2021","15161","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Wed Oct 13 08:10:23 GMT 2021","Wed Oct 13 08:10:52 GMT 2021","28824","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"passed","Wed Oct 13 08:13:42 GMT 2021","Wed Oct 13 08:13:52 GMT 2021","9714","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
