"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 13 11:19:16 GMT 2021","Wed Oct 13 11:19:16 GMT 2021","0","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Wed Oct 13 11:19:50 GMT 2021","Wed Oct 13 11:20:14 GMT 2021","24309","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"failed","Wed Oct 13 11:25:06 GMT 2021","Wed Oct 13 11:25:57 GMT 2021","51209","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Wed Oct 13 11:20:58 GMT 2021","Wed Oct 13 11:21:18 GMT 2021","20266","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"skipped","Wed Oct 13 11:29:29 GMT 2021","Wed Oct 13 11:29:29 GMT 2021","0","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"skipped","Wed Oct 13 11:19:16 GMT 2021","Wed Oct 13 11:19:16 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"skipped","Wed Oct 13 11:19:16 GMT 2021","Wed Oct 13 11:19:16 GMT 2021","0","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"skipped","Wed Oct 13 11:19:16 GMT 2021","Wed Oct 13 11:19:16 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"failed","Wed Oct 13 11:25:58 GMT 2021","Wed Oct 13 11:26:37 GMT 2021","39077","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"skipped","Wed Oct 13 11:19:16 GMT 2021","Wed Oct 13 11:19:16 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Wed Oct 13 11:21:18 GMT 2021","Wed Oct 13 11:21:31 GMT 2021","12751","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"skipped","Wed Oct 13 11:19:16 GMT 2021","Wed Oct 13 11:19:16 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Wed Oct 13 11:22:01 GMT 2021","Wed Oct 13 11:22:07 GMT 2021","5421","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
