"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"passed","Mon Oct 11 10:14:47 GMT 2021","Mon Oct 11 10:15:01 GMT 2021","14869","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Mon Oct 11 10:16:11 GMT 2021","Mon Oct 11 10:16:28 GMT 2021","16062","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"passed","Mon Oct 11 10:15:35 GMT 2021","Mon Oct 11 10:16:11 GMT 2021","36251","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Mon Oct 11 10:12:21 GMT 2021","Mon Oct 11 10:12:31 GMT 2021","9873","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Mon Oct 11 10:11:23 GMT 2021","Mon Oct 11 10:11:32 GMT 2021","8922","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Mon Oct 11 10:14:37 GMT 2021","Mon Oct 11 10:14:47 GMT 2021","9347","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Mon Oct 11 10:12:31 GMT 2021","Mon Oct 11 10:12:57 GMT 2021","26252","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Mon Oct 11 10:11:32 GMT 2021","Mon Oct 11 10:11:43 GMT 2021","11767","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Mon Oct 11 10:15:01 GMT 2021","Mon Oct 11 10:15:13 GMT 2021","12001","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Mon Oct 11 10:09:34 GMT 2021","Mon Oct 11 10:09:52 GMT 2021","17577","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Mon Oct 11 10:15:13 GMT 2021","Mon Oct 11 10:15:21 GMT 2021","7984","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"passed","Mon Oct 11 10:14:11 GMT 2021","Mon Oct 11 10:14:20 GMT 2021","9451","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Mon Oct 11 10:13:14 GMT 2021","Mon Oct 11 10:13:27 GMT 2021","12877","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Mon Oct 11 10:12:57 GMT 2021","Mon Oct 11 10:13:14 GMT 2021","17249","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Mon Oct 11 10:16:28 GMT 2021","Mon Oct 11 10:16:37 GMT 2021","9263","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Mon Oct 11 10:14:20 GMT 2021","Mon Oct 11 10:14:37 GMT 2021","16849","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Mon Oct 11 10:13:27 GMT 2021","Mon Oct 11 10:13:52 GMT 2021","25326","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Mon Oct 11 10:11:54 GMT 2021","Mon Oct 11 10:11:58 GMT 2021","3979","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Mon Oct 11 10:09:52 GMT 2021","Mon Oct 11 10:10:24 GMT 2021","32786","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Mon Oct 11 10:11:07 GMT 2021","Mon Oct 11 10:11:23 GMT 2021","15730","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Mon Oct 11 10:14:01 GMT 2021","Mon Oct 11 10:14:11 GMT 2021","10330","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Mon Oct 11 10:11:43 GMT 2021","Mon Oct 11 10:11:54 GMT 2021","10533","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Mon Oct 11 10:13:52 GMT 2021","Mon Oct 11 10:14:01 GMT 2021","8413","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Mon Oct 11 10:15:21 GMT 2021","Mon Oct 11 10:15:35 GMT 2021","13574","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"failed","Mon Oct 11 10:16:37 GMT 2021","Mon Oct 11 10:17:01 GMT 2021","24449","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Mon Oct 11 10:10:42 GMT 2021","Mon Oct 11 10:11:07 GMT 2021","24662","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"passed","Mon Oct 11 10:10:24 GMT 2021","Mon Oct 11 10:10:42 GMT 2021","18022","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"skipped","Mon Oct 11 10:09:33 GMT 2021","Mon Oct 11 10:09:33 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
