"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 03 21:48:45 GMT 2021","Sun Oct 03 21:48:55 GMT 2021","9275","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"skipped","Sun Oct 03 21:43:51 GMT 2021","Sun Oct 03 21:43:51 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Sun Oct 03 21:50:12 GMT 2021","Sun Oct 03 21:50:22 GMT 2021","10475","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Sun Oct 03 21:47:42 GMT 2021","Sun Oct 03 21:47:59 GMT 2021","17061","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Sun Oct 03 21:45:16 GMT 2021","Sun Oct 03 21:45:26 GMT 2021","9945","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Sun Oct 03 21:44:09 GMT 2021","Sun Oct 03 21:44:18 GMT 2021","8896","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Sun Oct 03 21:45:26 GMT 2021","Sun Oct 03 21:45:40 GMT 2021","13460","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Sun Oct 03 21:47:32 GMT 2021","Sun Oct 03 21:47:42 GMT 2021","9951","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Sun Oct 03 21:48:55 GMT 2021","Sun Oct 03 21:49:07 GMT 2021","12307","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Sun Oct 03 21:50:22 GMT 2021","Sun Oct 03 21:50:48 GMT 2021","25774","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Sun Oct 03 21:46:29 GMT 2021","Sun Oct 03 21:46:39 GMT 2021","10103","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Sun Oct 03 21:51:35 GMT 2021","Sun Oct 03 21:52:08 GMT 2021","32944","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
