"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 13 10:17:24 GMT 2021","Wed Oct 13 10:17:31 GMT 2021","7220","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Wed Oct 13 10:12:21 GMT 2021","Wed Oct 13 10:12:34 GMT 2021","12753","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"skipped","Wed Oct 13 10:20:38 GMT 2021","Wed Oct 13 10:20:38 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Wed Oct 13 10:12:02 GMT 2021","Wed Oct 13 10:12:12 GMT 2021","9494","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Wed Oct 13 10:10:14 GMT 2021","Wed Oct 13 10:10:24 GMT 2021","10697","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Wed Oct 13 10:10:05 GMT 2021","Wed Oct 13 10:10:14 GMT 2021","8833","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Wed Oct 13 10:07:34 GMT 2021","Wed Oct 13 10:07:41 GMT 2021","7510","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Wed Oct 13 10:10:35 GMT 2021","Wed Oct 13 10:10:49 GMT 2021","14005","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Wed Oct 13 10:11:03 GMT 2021","Wed Oct 13 10:11:13 GMT 2021","10406","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Wed Oct 13 10:07:14 GMT 2021","Wed Oct 13 10:07:34 GMT 2021","19717","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Wed Oct 13 10:10:24 GMT 2021","Wed Oct 13 10:10:35 GMT 2021","10935","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"skipped","Wed Oct 13 10:17:16 GMT 2021","Wed Oct 13 10:17:24 GMT 2021","7368","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Wed Oct 13 10:12:12 GMT 2021","Wed Oct 13 10:12:21 GMT 2021","9155","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Wed Oct 13 10:09:12 GMT 2021","Wed Oct 13 10:09:21 GMT 2021","9329","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Wed Oct 13 10:11:23 GMT 2021","Wed Oct 13 10:11:37 GMT 2021","13992","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"skipped","Wed Oct 13 10:20:38 GMT 2021","Wed Oct 13 10:20:38 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Wed Oct 13 10:09:48 GMT 2021","Wed Oct 13 10:10:05 GMT 2021","16570","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Wed Oct 13 10:11:37 GMT 2021","Wed Oct 13 10:11:47 GMT 2021","9911","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"skipped","Wed Oct 13 10:20:38 GMT 2021","Wed Oct 13 10:20:38 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Wed Oct 13 10:09:21 GMT 2021","Wed Oct 13 10:09:32 GMT 2021","11261","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
