"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 13 15:32:26 GMT 2021","Wed Oct 13 15:32:37 GMT 2021","11471","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"skipped","Wed Oct 13 15:44:45 GMT 2021","Wed Oct 13 15:45:12 GMT 2021","27614","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Wed Oct 13 15:35:53 GMT 2021","Wed Oct 13 15:36:20 GMT 2021","27085","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Wed Oct 13 15:32:05 GMT 2021","Wed Oct 13 15:32:26 GMT 2021","20280","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Wed Oct 13 15:36:53 GMT 2021","Wed Oct 13 15:37:11 GMT 2021","17548","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Wed Oct 13 15:43:45 GMT 2021","Wed Oct 13 15:44:45 GMT 2021","59929","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Wed Oct 13 15:32:37 GMT 2021","Wed Oct 13 15:32:58 GMT 2021","21277","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"passed","Wed Oct 13 15:36:42 GMT 2021","Wed Oct 13 15:36:53 GMT 2021","11225","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Wed Oct 13 15:34:53 GMT 2021","Wed Oct 13 15:35:05 GMT 2021","11954","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Wed Oct 13 15:33:46 GMT 2021","Wed Oct 13 15:33:56 GMT 2021","10700","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Wed Oct 13 15:37:49 GMT 2021","Wed Oct 13 15:38:14 GMT 2021","24489","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Wed Oct 13 15:34:10 GMT 2021","Wed Oct 13 15:34:24 GMT 2021","14014","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
