"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 13 08:59:36 GMT 2021","Wed Oct 13 08:59:36 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Wed Oct 13 08:53:41 GMT 2021","Wed Oct 13 08:53:44 GMT 2021","3634","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Wed Oct 13 08:53:30 GMT 2021","Wed Oct 13 08:53:41 GMT 2021","10301","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Wed Oct 13 08:52:51 GMT 2021","Wed Oct 13 08:53:09 GMT 2021","17935","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"skipped","Wed Oct 13 08:59:36 GMT 2021","Wed Oct 13 08:59:36 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Wed Oct 13 08:54:47 GMT 2021","Wed Oct 13 08:54:57 GMT 2021","9713","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"skipped","Wed Oct 13 08:59:36 GMT 2021","Wed Oct 13 08:59:36 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Wed Oct 13 08:51:35 GMT 2021","Wed Oct 13 08:51:54 GMT 2021","19075","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Wed Oct 13 08:55:24 GMT 2021","Wed Oct 13 08:55:37 GMT 2021","12631","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Wed Oct 13 08:55:37 GMT 2021","Wed Oct 13 08:56:16 GMT 2021","39022","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"skipped","Wed Oct 13 08:59:36 GMT 2021","Wed Oct 13 08:59:36 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Wed Oct 13 08:54:37 GMT 2021","Wed Oct 13 08:54:47 GMT 2021","10008","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Wed Oct 13 08:53:18 GMT 2021","Wed Oct 13 08:53:30 GMT 2021","12317","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Wed Oct 13 08:53:44 GMT 2021","Wed Oct 13 08:54:04 GMT 2021","19503","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Wed Oct 13 08:51:54 GMT 2021","Wed Oct 13 08:52:02 GMT 2021","8210","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
