"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 03 13:50:29 GMT 2021","Sun Oct 03 13:50:40 GMT 2021","10396","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Sun Oct 03 13:46:19 GMT 2021","Sun Oct 03 13:46:27 GMT 2021","8367","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Sun Oct 03 13:49:47 GMT 2021","Sun Oct 03 13:50:04 GMT 2021","16903","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Sun Oct 03 13:48:01 GMT 2021","Sun Oct 03 13:48:05 GMT 2021","4338","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Sun Oct 03 13:47:09 GMT 2021","Sun Oct 03 13:47:25 GMT 2021","15788","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Sun Oct 03 13:50:48 GMT 2021","Sun Oct 03 13:51:00 GMT 2021","11767","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Sun Oct 03 13:51:47 GMT 2021","Sun Oct 03 13:52:04 GMT 2021","17837","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"passed","Sun Oct 03 13:48:35 GMT 2021","Sun Oct 03 13:48:45 GMT 2021","10281","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Sun Oct 03 13:46:01 GMT 2021","Sun Oct 03 13:46:19 GMT 2021","17912","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Sun Oct 03 13:49:12 GMT 2021","Sun Oct 03 13:49:26 GMT 2021","13371","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Sun Oct 03 13:48:25 GMT 2021","Sun Oct 03 13:48:35 GMT 2021","9809","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Sun Oct 03 13:46:27 GMT 2021","Sun Oct 03 13:46:45 GMT 2021","18017","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"passed","Sun Oct 03 13:53:25 GMT 2021","Sun Oct 03 13:54:05 GMT 2021","40002","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Sun Oct 03 13:50:04 GMT 2021","Sun Oct 03 13:50:14 GMT 2021","10214","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Sun Oct 03 13:54:31 GMT 2021","Sun Oct 03 13:54:42 GMT 2021","11720","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Sun Oct 03 13:52:15 GMT 2021","Sun Oct 03 13:52:41 GMT 2021","26259","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Sun Oct 03 13:47:33 GMT 2021","Sun Oct 03 13:47:50 GMT 2021","17202","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Sun Oct 03 13:50:14 GMT 2021","Sun Oct 03 13:50:29 GMT 2021","15036","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Sun Oct 03 13:52:41 GMT 2021","Sun Oct 03 13:53:02 GMT 2021","20514","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"passed","Sun Oct 03 13:47:50 GMT 2021","Sun Oct 03 13:48:01 GMT 2021","10602","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"skipped","Sun Oct 03 13:46:00 GMT 2021","Sun Oct 03 13:46:00 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Sun Oct 03 13:53:02 GMT 2021","Sun Oct 03 13:53:25 GMT 2021","22769","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"passed","Sun Oct 03 13:50:40 GMT 2021","Sun Oct 03 13:50:48 GMT 2021","8555","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Sun Oct 03 13:49:37 GMT 2021","Sun Oct 03 13:49:47 GMT 2021","9986","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Sun Oct 03 13:48:57 GMT 2021","Sun Oct 03 13:49:12 GMT 2021","15754","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"skipped","Sun Oct 03 13:46:00 GMT 2021","Sun Oct 03 13:46:00 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Sun Oct 03 13:48:05 GMT 2021","Sun Oct 03 13:48:25 GMT 2021","19824","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Sun Oct 03 13:54:05 GMT 2021","Sun Oct 03 13:54:31 GMT 2021","25963","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Sun Oct 03 13:48:45 GMT 2021","Sun Oct 03 13:48:57 GMT 2021","11197","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"skipped","Sun Oct 03 13:46:00 GMT 2021","Sun Oct 03 13:46:00 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
