"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 21:49:16 GMT 2021","Thu Oct 14 21:49:34 GMT 2021","18714","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Thu Oct 14 21:50:44 GMT 2021","Thu Oct 14 21:50:52 GMT 2021","8034","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Thu Oct 14 21:54:39 GMT 2021","Thu Oct 14 21:54:50 GMT 2021","10537","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Thu Oct 14 21:52:09 GMT 2021","Thu Oct 14 21:52:18 GMT 2021","9515","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Thu Oct 14 21:53:50 GMT 2021","Thu Oct 14 21:54:02 GMT 2021","11384","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"skipped","Thu Oct 14 21:56:33 GMT 2021","Thu Oct 14 21:56:41 GMT 2021","7720","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Thu Oct 14 21:58:39 GMT 2021","Thu Oct 14 21:59:01 GMT 2021","22324","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Thu Oct 14 21:57:31 GMT 2021","Thu Oct 14 21:57:43 GMT 2021","12009","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Thu Oct 14 21:50:00 GMT 2021","Thu Oct 14 21:50:26 GMT 2021","25812","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"passed","Thu Oct 14 21:51:02 GMT 2021","Thu Oct 14 21:51:11 GMT 2021","9313","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"skipped","Thu Oct 14 21:56:41 GMT 2021","Thu Oct 14 21:56:48 GMT 2021","7468","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Thu Oct 14 21:50:52 GMT 2021","Thu Oct 14 21:51:02 GMT 2021","10304","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Thu Oct 14 21:54:50 GMT 2021","Thu Oct 14 21:54:58 GMT 2021","8670","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Thu Oct 14 21:54:58 GMT 2021","Thu Oct 14 21:55:08 GMT 2021","9546","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Thu Oct 14 21:57:43 GMT 2021","Thu Oct 14 21:58:01 GMT 2021","17283","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Thu Oct 14 21:52:55 GMT 2021","Thu Oct 14 21:53:13 GMT 2021","18150","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Thu Oct 14 21:49:34 GMT 2021","Thu Oct 14 21:49:41 GMT 2021","7043","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Thu Oct 14 21:59:01 GMT 2021","Thu Oct 14 21:59:20 GMT 2021","18772","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Thu Oct 14 21:54:16 GMT 2021","Thu Oct 14 21:54:26 GMT 2021","9926","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Thu Oct 14 21:55:08 GMT 2021","Thu Oct 14 21:55:46 GMT 2021","38365","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Thu Oct 14 21:58:01 GMT 2021","Thu Oct 14 21:58:22 GMT 2021","21077","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"passed","Thu Oct 14 21:50:26 GMT 2021","Thu Oct 14 21:50:44 GMT 2021","17501","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Thu Oct 14 21:58:22 GMT 2021","Thu Oct 14 21:58:39 GMT 2021","16757","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"passed","Thu Oct 14 21:53:24 GMT 2021","Thu Oct 14 21:53:36 GMT 2021","12325","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Thu Oct 14 21:51:14 GMT 2021","Thu Oct 14 21:52:01 GMT 2021","47159","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Thu Oct 14 21:54:02 GMT 2021","Thu Oct 14 21:54:16 GMT 2021","14592","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Thu Oct 14 21:54:26 GMT 2021","Thu Oct 14 21:54:39 GMT 2021","12931","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Thu Oct 14 21:51:11 GMT 2021","Thu Oct 14 21:51:14 GMT 2021","2961","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Thu Oct 14 21:49:41 GMT 2021","Thu Oct 14 21:50:00 GMT 2021","18863","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"passed","Thu Oct 14 21:53:13 GMT 2021","Thu Oct 14 21:53:24 GMT 2021","10665","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Thu Oct 14 21:56:07 GMT 2021","Thu Oct 14 21:56:33 GMT 2021","25805","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Thu Oct 14 21:52:01 GMT 2021","Thu Oct 14 21:52:09 GMT 2021","7247","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Thu Oct 14 21:59:20 GMT 2021","Thu Oct 14 21:59:37 GMT 2021","17674","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Thu Oct 14 21:53:36 GMT 2021","Thu Oct 14 21:53:50 GMT 2021","13981","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Thu Oct 14 21:56:48 GMT 2021","Thu Oct 14 21:57:31 GMT 2021","43243","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
