"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 27 13:07:56 GMT 2021","Mon Sep 27 13:08:19 GMT 2021","22566","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"passed","Mon Sep 27 13:16:24 GMT 2021","Mon Sep 27 13:16:42 GMT 2021","18235","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"passed","Mon Sep 27 13:09:02 GMT 2021","Mon Sep 27 13:09:06 GMT 2021","3760","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Mon Sep 27 13:09:54 GMT 2021","Mon Sep 27 13:10:10 GMT 2021","15789","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"passed","Mon Sep 27 13:14:54 GMT 2021","Mon Sep 27 13:15:23 GMT 2021","29065","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Mon Sep 27 13:08:52 GMT 2021","Mon Sep 27 13:09:02 GMT 2021","9715","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Mon Sep 27 13:16:42 GMT 2021","Mon Sep 27 13:17:01 GMT 2021","19654","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"passed","Mon Sep 27 13:15:52 GMT 2021","Mon Sep 27 13:16:00 GMT 2021","8346","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Mon Sep 27 13:15:38 GMT 2021","Mon Sep 27 13:15:52 GMT 2021","13668","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"passed","Mon Sep 27 13:08:19 GMT 2021","Mon Sep 27 13:08:34 GMT 2021","15083","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Mon Sep 27 13:07:30 GMT 2021","Mon Sep 27 13:07:38 GMT 2021","8252","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Mon Sep 27 13:10:32 GMT 2021","Mon Sep 27 13:10:44 GMT 2021","11115","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Mon Sep 27 13:09:06 GMT 2021","Mon Sep 27 13:09:25 GMT 2021","19111","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Mon Sep 27 13:11:10 GMT 2021","Mon Sep 27 13:11:24 GMT 2021","13947","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"failed","Mon Sep 27 13:17:53 GMT 2021","Mon Sep 27 13:18:04 GMT 2021","10357","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Mon Sep 27 13:10:10 GMT 2021","Mon Sep 27 13:10:22 GMT 2021","12395","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Mon Sep 27 13:09:35 GMT 2021","Mon Sep 27 13:09:43 GMT 2021","8718","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Mon Sep 27 13:07:13 GMT 2021","Mon Sep 27 13:07:30 GMT 2021","16746","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"skipped","Mon Sep 27 13:15:23 GMT 2021","Mon Sep 27 13:15:30 GMT 2021","6969","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Mon Sep 27 13:09:25 GMT 2021","Mon Sep 27 13:09:35 GMT 2021","9745","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"skipped","Mon Sep 27 13:15:30 GMT 2021","Mon Sep 27 13:15:38 GMT 2021","7704","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Mon Sep 27 13:10:44 GMT 2021","Mon Sep 27 13:11:00 GMT 2021","16905","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"passed","Mon Sep 27 13:17:30 GMT 2021","Mon Sep 27 13:17:53 GMT 2021","23689","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Mon Sep 27 13:11:00 GMT 2021","Mon Sep 27 13:11:10 GMT 2021","9145","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Mon Sep 27 13:07:38 GMT 2021","Mon Sep 27 13:07:56 GMT 2021","17656","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"passed","Mon Sep 27 13:11:24 GMT 2021","Mon Sep 27 13:11:33 GMT 2021","9138","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Mon Sep 27 13:11:33 GMT 2021","Mon Sep 27 13:11:40 GMT 2021","7596","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Mon Sep 27 13:08:34 GMT 2021","Mon Sep 27 13:08:41 GMT 2021","7507","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Mon Sep 27 13:17:01 GMT 2021","Mon Sep 27 13:17:30 GMT 2021","28230","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Mon Sep 27 13:11:51 GMT 2021","Mon Sep 27 13:12:40 GMT 2021","48871","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Mon Sep 27 13:16:00 GMT 2021","Mon Sep 27 13:16:24 GMT 2021","23630","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Mon Sep 27 13:08:41 GMT 2021","Mon Sep 27 13:08:52 GMT 2021","11275","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Mon Sep 27 13:10:22 GMT 2021","Mon Sep 27 13:10:32 GMT 2021","10324","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
