"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 03 22:20:02 GMT 2021","Sun Oct 03 22:20:09 GMT 2021","7385","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Sun Oct 03 22:17:38 GMT 2021","Sun Oct 03 22:17:48 GMT 2021","9781","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"passed","Sun Oct 03 22:19:53 GMT 2021","Sun Oct 03 22:20:02 GMT 2021","8919","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Sun Oct 03 22:19:31 GMT 2021","Sun Oct 03 22:19:40 GMT 2021","8910","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Sun Oct 03 22:18:08 GMT 2021","Sun Oct 03 22:18:16 GMT 2021","8058","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Sun Oct 03 22:16:17 GMT 2021","Sun Oct 03 22:16:25 GMT 2021","7700","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Sun Oct 03 22:20:59 GMT 2021","Sun Oct 03 22:21:15 GMT 2021","16262","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"skipped","Sun Oct 03 22:20:58 GMT 2021","Sun Oct 03 22:20:58 GMT 2021","0","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Sun Oct 03 22:17:28 GMT 2021","Sun Oct 03 22:17:38 GMT 2021","10276","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Sun Oct 03 22:20:09 GMT 2021","Sun Oct 03 22:20:20 GMT 2021","10703","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Sun Oct 03 22:16:42 GMT 2021","Sun Oct 03 22:17:05 GMT 2021","22932","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"passed","Sun Oct 03 22:21:24 GMT 2021","Sun Oct 03 22:21:45 GMT 2021","20764","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Sun Oct 03 22:17:48 GMT 2021","Sun Oct 03 22:17:52 GMT 2021","3652","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Sun Oct 03 22:18:48 GMT 2021","Sun Oct 03 22:19:00 GMT 2021","11523","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Sun Oct 03 22:18:35 GMT 2021","Sun Oct 03 22:18:48 GMT 2021","13768","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"skipped","Sun Oct 03 22:16:00 GMT 2021","Sun Oct 03 22:16:00 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"skipped","Sun Oct 03 22:16:00 GMT 2021","Sun Oct 03 22:16:00 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
